Hersteller;Artikelnummer;Gruppierung;Lokalisierung;Seriennummer;Artikelname;Vertriebsbeschreibung;Marketing-Status;Gesamt Seiten;Verkaufspreis excl. Ust;MwSt Satz;Gewicht;Hersteller URL;Link Bilddatei;Kategorie / Produktlinie;Anzahl;
	LG;T6.DEUSLLK; -  ; -  ;704HZVA194695; T6 Soundbar Accessary  ; -Stativadapter für TV-Verbindung mit Soundbar SJ8  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**     ;Reveno; -  ;15,00;19%; 1 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Heimkinosysteme;1;
	LG;T6.DEUSLLK; -  ; -  ;704HZYL194842; T6 Soundbar Accessary  ; -Stativadapter für TV-Verbindung mit Soundbar SJ8  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**    ;Reveno; -  ;15,00;19%; 1 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Heimkinosysteme;1;
	LG;MR140.BEUSLLK; -  ; -  ;408INYD239538; MR140 MusicFlow R1 ; - Music Flow Bridge (optionales Zubehör): Ermöglicht freie Platzierung des ersten Music Flow Lautsprechers - Konnektivität: WLAN - Komfort: Mesh Network - Anschlüße: RJ45-Ethernet (LAN) - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;12,00;19%; 1 ; - ; https://images.cds-limes.com/LG/MR140.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;MR140.BEUSLLK; -  ; -  ;409INMF118811; MR140 MusicFlow R1 ; - Music Flow Bridge (optionales Zubehör): Ermöglicht freie Platzierung des ersten Music Flow Lautsprechers - Konnektivität: WLAN - Komfort: Mesh Network - Anschlüße: RJ45-Ethernet (LAN) - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;12,00;19%; 1 ; - ; https://images.cds-limes.com/LG/MR140.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;MR140.BEUSLLK; -  ; -  ;409INKH118813; MR140 MusicFlow R1 ; - Music Flow Bridge (optionales Zubehör): Ermöglicht freie Platzierung des ersten Music Flow Lautsprechers - Konnektivität: WLAN - Komfort: Mesh Network - Anschlüße: RJ45-Ethernet (LAN) - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;12,00;19%; 1 ; - ; https://images.cds-limes.com/LG/MR140.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;MR140.BEUSLLK; -  ; -  ;409INZY118829; MR140 MusicFlow R1 ; - Music Flow Bridge (optionales Zubehör): Ermöglicht freie Platzierung des ersten Music Flow Lautsprechers - Konnektivität: WLAN - Komfort: Mesh Network - Anschlüße: RJ45-Ethernet (LAN) - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;12,00;19%; 1 ; - ; https://images.cds-limes.com/LG/MR140.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;MR140.BEUSLLK; -  ; -  ;409INRC118798; MR140 MusicFlow R1 ; - Music Flow Bridge (optionales Zubehör): Ermöglicht freie Platzierung des ersten Music Flow Lautsprechers - Konnektivität: WLAN - Komfort: Mesh Network - Anschlüße: RJ45-Ethernet (LAN) - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;12,00;19%; 1 ; - ; https://images.cds-limes.com/LG/MR140.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;CK56.DMEXPV; -  ; -  ;802HZEE242292; CK56 Musikanlage ; - Mikrosystem mit CD / USB / 1x Mikrofoneingang / MP3 / WMA - UKW-Radio,  - 10 Senderspeicher,  - Bluetooth,  - 2x USB  - 700W -  X-Shiny  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;159,00;19%; 15 ; - ; https://images.cds-limes.com/LG/CK56.DMEXPV.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;NA9740.BDEULLK; -  ; -  ;409INEW179268; NA9740 Music Flow H7 ; - Ausgangsleistung: 70 Watt - Tonverarbeitung: 24bit/ 192 KHz Sampling - Unterstützte Audio Formate: MP3, WMA, Ogg Vorbis, AIFF, AAC (MPEG4), AAC+, Apple Lossless (m4a), FLAC, WAV - Bluetooth, NFC, WLAN - Wiedergabemodi: Zufallswiedergabe, Programmwiedergabe, Titel wiederholen, Alle wiederholen - ** Vorführ-/ Demo-/ Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;169,00;19%; 5 ; http://www.lg.com/de/multiroom/lg-H7-NA9740 ; https://images.cds-limes.com/LG/NA9740.BDEULLK.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/Home Audio;1;
	LG;55SM5C-B.AEU; -  ; -  ;605KCKJ8S365; 55SM5C-B 55" Commercial Display ; -Bildschirmgröße: 55 " -Auflösung: 1,920 x 1,080 (FHD) -Helligkeit: 450 -Anschlüsse: HDMI, DP, DVI-D, RGB, Audio, SD card -Ausgaben: DP, Audio, External Speaker  -**90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**    ;Reveno; -  ;799,00;19%; 21 ; - ; https://images.cds-limes.com/LG/55SM5C-B.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/LCD-LED-TV/55" Zoll;1;
	LG;OLED65W7V.AEU; -  ; -  ;708MAJM4M508; OLED65W7V 65" OLED TV ; - 65" TV - Auflösung 4K - LG OLED Hub - Multi HDR mit Dolby Vision   - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **    ;Reveno; -  ;3.769,00;19%; 33 ; - ; https://images.cds-limes.com/LG/Download (1).jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/LCD-LED-TV/65" Zoll;1;
	LG;OLED77W8PLA.AEU; -  ; -  ;807MABTAW981; OLED77W8PLA 77" OLED TV ; - 77" OLED  - 3.840 x 2.160 Pixel  - Smart TV  - DVB-S2 HD / DVB-C / DVB-T2  - 4 HDMI-Eingänge - LG ThinQ AI  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;5.589,00;19%; 93 ; - ; https://images.cds-limes.com/LG/1100 (3).jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/LCD-LED-TV/77" Zoll;1;
	LG;32LH500D.SAMPLE; -  ; -  ;512TXMW00043; 32LH500D 32" LED LCD TV ; - Bildschirmdiagonale: 32 Zoll - Empfang: DVB-C, DVB-T - Auflösung: 1366 x 768 - Anschlüsse: HDMI x2, Component Video x1, USB x1 - Energieklasse A+  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Primus; -  ;129,00;19%; 5 ; - ; https://images.cds-limes.com/LG/61Ap6DjTrzL._SL1024_.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/LCD-LED-TV/32" Zoll;1;
	LG;43SM5C-B.AEU; -  ; -  ;704MALF8C800; 43SM5C-B 43" Commercial Display ; 1920 x 1080 Brightness (cd/m2): 450 Colour Depth (Num of Colours): 16.7M HDTV Formats: HDMI : 720p, 1080i, 1080p VESA Mounting: 200 x 200  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;349,00;19%; 12 ; - ; https://images.cds-limes.com/LG/medium01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/LCD-LED-TV/43" Zoll;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB2532; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB1735; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB1713; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB2524; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB2531; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB2526; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB3204; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HAN150; -  ; -  ;XHAN1502GWB0914; Xoro HAN 150 DVB-T/T2 Antenne  ; (UHF) mit externem Verstärker (LTE Filter, Neigbar, 1,5m Kabel) schwarz   ;Reveno; -  ;9,00;19%; 1 ; - ; https://images.cds-limes.com/LG/HAN_150.png ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87194GDB01022; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Reveno; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87194GDB01364; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Reveno; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87243GDB03652; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Primus; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87243GDB03135; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Primus; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87194GDB01262; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Reveno; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87194GDB01249; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Reveno; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;HRT8719; -  ; -  ;XHRT87194GDB01337; Xoro HRT 8719 Full HD HEVC DVB-T/T2 Receiver ; Full HD HEVC DVB-T/T2 Receiver (H.265, HDTV, HDMI, kartenloses Irdeto-Zugangssystem für freenet TV, Mediaplayer, USB 2.0, 12V) schwarz   ;Reveno; -  ;25,00;19%; 1 ; - ; https://images.cds-limes.com/LG/hrt8719_front02_01.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZAP129784; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;39,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;703HZCS230019; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;703HZYL215258; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZYL129674; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZQC129700; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZYL129770; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZFH129739; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZCS129795; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZWF129785; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;T8.DEUSLLK; -  ; -  ;706HZNX129783; T8 Soundbar Accessary  ; - All-in-One Design - Eleganter Standfuß - Zubehör für die Soundbar SJ8 - kompatibel mit den OLED TVs C7/B7 (65 und 55 Zoll)  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;49,00;19%; 2 ; - ; https://images.cds-limes.com/LG/T8_D01_27092017.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;SOUNDBAR.RACK15; -  ; -  ;LIM0002656; Soundbar Rack ; Soundbar Rack   ;Reveno; -  ;69,00;19%; 100 ; - ; - ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;STB-5500.AEULLHX; -  ; -  ;612KKEB3N428; STB-5500 Set-top Box ; - Pro:Centric® Smart IPTV Platform - Embedded Pro:Idiom® decryption for non-Pro:Idiom TV's - IP Streaming and RF Tuning - Supports Ultra HD/4K (3840 x 2160) and Full HD (up to 1080p) output resolutions - Pro:Centric Application Support for non-Pro:Centric TVs  - **90 Tage Übernahmegarantie** - **Vorführ / Messe / Demogerät**   ;Reveno; -  ;109,00;19%; 1 ; - ; https://images.cds-limes.com/LG/STB-5500.jpg ;/Preislistenproduktlinien/TV / Heimkino / Blu-ray/TV/TV-Zubehör;1;
	LG;ST-491X.SAMPLE; -  ; -  ;ST-491X001; ST-491X Commercial Monitor Stand ; - Abmessungen : 62.0 x 113.7 x 302.0 (W x L x H) - Gewicht : 0.8Kg (0.4kg/Unit) - für folgende Produkte : 32WL30 - ** Vorführ / Demo / Messegerät **  - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;19,00;19%; 60 ; - ; - ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;ST-432T.AL; -  ; -  ;603TBZZ00022; ST-432T.AL Commcerial Monitor Standfuss ; - für folgende Modelle: 43SE3(K)B 43SM3B 43SM5(K)B 43SL5B  - Farbe: Schwarz - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;41,18;19%; 4 ; - ; https://images.cds-limes.com/LG/lg-commercial-widescreen-monitor-st-320t-zoom02.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;KT-OPSA.ALX; -  ; -  ;412YJSY2P214; KT-OPSA.ALX Commercial_Monitor Board ; - KT-OPSA - OPS Montageset - Entwickelt für LG 42LS75A-5B - OPS-KOMPATIBILITÄT - Mit dem OPS Kit ist es möglich einen OPS-Player anzuschließen. Sie bleiben also bei der Wahl eines externen Mediaplayers jederzeit flexibel, sofern er mit den OPS Kit kompatibel ist. - ** Vorführ- / Demo- / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;49,58;19%; 5 ; - ; https://images.cds-limes.com/LG/KT-OPSA.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
	LG;CBV42-B.AEU; -  ; -  ;306NDFV3C203; CBV42-B Zero Client Box ; - Zero Client Box zur Desktop-Virtualisierung  - 6x USB 2.0-Anschlüssen - VMware View  - 512 MB Arbeitsspeicher - Farbdarstellung 16,7 Mio. - Maximale Auflösung 1.920 x 1.200 - Eingangsbuchsee: 15 Pin D-Sub, 2 x USB 2.0 für Tastatur und Maus, 4 x USB, Mikrofoneingang - Weitere Anschlüsse: Netzwerkanschluss RJ45 - ** Vorführ / Demo / Messegerät ** - ** 90 Tage Übernahmegarantie **   ;Reveno; -  ;79,00;19%; 1 ; - ; https://images.cds-limes.com/LG/CBV42-B.jpg ;/Preislistenproduktlinien/IT-Produkte/Info-Display/Zubehör;1;
